rank,accuracy,n_mfcc,n_fft,win_len,hop_len,n_mels,delta,delta2,gmm_comp,gmm_cov
1,100.00,13,512,512,200,26,True,True,4,diag
2,100.00,13,1024,512,200,26,True,True,4,diag
3,100.00,16,512,400,200,26,True,True,4,diag
4,100.00,16,512,400,200,32,True,True,4,diag
5,100.00,16,512,512,200,26,True,True,4,diag
6,100.00,16,1024,400,200,26,True,True,4,diag
7,100.00,16,1024,400,200,32,True,True,4,diag
8,100.00,16,1024,512,200,26,True,True,4,diag
9,97.50,13,512,400,200,26,True,True,4,diag
10,97.50,13,512,512,200,32,True,True,4,diag
11,97.50,13,1024,400,200,26,True,True,4,diag
12,97.50,13,1024,512,200,32,True,True,4,diag
13,97.50,16,512,400,200,26,True,False,4,diag
14,97.50,16,512,400,200,32,True,False,4,diag
15,97.50,16,512,512,160,32,True,False,4,diag
16,97.50,16,512,512,200,26,True,False,4,diag
17,97.50,16,512,512,200,32,True,False,4,diag
18,97.50,16,512,512,200,32,True,True,4,diag
19,97.50,16,1024,400,160,32,True,False,4,diag
20,97.50,16,1024,400,200,26,True,False,4,diag
21,97.50,16,1024,400,200,32,True,False,4,diag
22,97.50,16,1024,512,160,32,True,False,4,diag
23,97.50,16,1024,512,160,32,True,True,4,diag
24,97.50,16,1024,512,200,26,True,False,4,diag
25,97.50,16,1024,512,200,26,True,False,8,diag
26,97.50,16,1024,512,200,26,True,True,8,diag
27,97.50,16,1024,512,200,32,True,False,4,diag
28,97.50,16,1024,512,200,32,True,True,4,diag
29,97.50,20,512,512,200,26,True,False,4,diag
30,97.50,20,512,512,200,32,True,False,12,diag
31,97.50,20,512,512,200,32,True,True,4,diag
32,97.50,20,1024,400,200,32,True,True,4,diag
33,97.50,20,1024,512,200,26,True,False,4,diag
34,97.50,20,1024,512,200,26,True,True,4,diag
35,97.50,20,1024,512,200,32,True,True,4,diag
36,95.00,13,512,400,160,26,True,True,12,diag
37,95.00,13,512,400,160,32,True,True,12,diag
38,95.00,13,512,400,200,26,True,False,4,diag
39,95.00,13,512,400,200,32,True,True,4,diag
40,95.00,13,512,512,160,26,True,False,4,diag
41,95.00,13,512,512,160,32,True,False,4,diag
42,95.00,13,512,512,160,32,True,True,4,diag
43,95.00,13,512,512,200,26,True,False,4,diag
44,95.00,13,512,512,200,32,True,False,4,diag
45,95.00,13,512,512,200,32,True,False,12,diag
46,95.00,13,512,512,200,32,True,True,12,diag
47,95.00,13,1024,400,160,26,True,True,12,diag
48,95.00,13,1024,400,200,26,True,False,4,diag
49,95.00,13,1024,400,200,32,True,True,4,diag
50,95.00,13,1024,512,160,26,True,False,4,diag
51,95.00,13,1024,512,160,32,True,True,4,diag
52,95.00,13,1024,512,200,26,True,True,12,diag
53,95.00,13,1024,512,200,32,True,True,8,diag
54,95.00,16,512,400,160,32,True,False,4,diag
55,95.00,16,512,400,160,32,True,True,4,diag
56,95.00,16,512,400,160,32,True,True,12,diag
57,95.00,16,512,400,200,26,True,False,12,diag
58,95.00,16,512,400,200,26,True,True,12,diag
59,95.00,16,512,400,200,32,True,True,8,diag
60,95.00,16,512,512,160,32,True,True,8,tied
61,95.00,16,512,512,200,26,True,False,8,diag
62,95.00,16,512,512,200,26,True,True,8,diag
63,95.00,16,512,512,200,26,True,True,8,tied
64,95.00,16,512,512,200,32,True,False,12,diag
65,95.00,16,512,512,200,32,True,True,12,diag
66,95.00,16,512,512,200,32,True,True,12,tied
67,95.00,16,1024,400,160,32,True,True,4,diag
68,95.00,16,1024,400,200,26,True,True,8,diag
69,95.00,16,1024,400,200,32,True,True,8,diag
70,95.00,16,1024,512,200,26,True,True,8,tied
71,95.00,16,1024,512,200,26,True,True,12,diag
72,95.00,20,512,400,160,26,True,False,4,diag
73,95.00,20,512,400,160,26,True,True,4,diag
74,95.00,20,512,400,160,32,True,True,4,diag
75,95.00,20,512,400,200,26,True,False,4,diag
76,95.00,20,512,400,200,32,True,False,4,diag
77,95.00,20,512,400,200,32,True,True,8,diag
78,95.00,20,512,400,200,32,True,True,4,diag
79,95.00,20,512,400,200,32,True,True,12,diag
80,95.00,20,512,512,160,26,True,False,4,diag
81,95.00,20,512,512,160,26,True,True,4,diag
82,95.00,20,512,512,160,32,True,True,4,diag
83,95.00,20,512,512,200,26,True,True,4,diag
84,95.00,20,512,512,200,32,True,False,4,diag
85,95.00,20,512,512,200,32,True,True,12,diag
86,95.00,20,1024,400,160,26,True,False,4,diag
87,95.00,20,1024,400,160,26,True,False,8,diag
88,95.00,20,1024,400,160,26,True,True,4,diag
89,95.00,20,1024,400,160,32,True,True,4,diag
90,95.00,20,1024,400,200,26,True,False,4,diag
91,95.00,20,1024,400,200,32,True,False,4,diag
92,95.00,20,1024,400,200,32,True,True,8,diag
